Date,Price,Open,High,Low,Vol.,Change %
"Jul 01, 2015","2,071.00","2,054.50","2,077.50","2,054.50",1.50M,0.80%
"Jul 02, 2015","2,068.75","2,071.50","2,079.00","2,062.25",1.25M,-0.11%
"Jul 03, 2015","2,066.05","2,068.05","2,071.95","2,063.45",-,-0.13%
"Jul 06, 2015","2,064.50","2,037.25","2,071.75","2,034.25",1.97M,-0.08%
"Jul 07, 2015","2,073.75","2,067.75","2,078.00","2,035.00",2.53M,0.45%
"Jul 08, 2015","2,039.25","2,073.00","2,073.25","2,036.25",2.39M,-1.66%
"Jul 09, 2015","2,041.25","2,039.75","2,068.00","2,038.25",1.98M,0.10%
"Jul 10, 2015","2,069.00","2,044.75","2,074.75","2,044.75",1.57M,1.36%
"Jul 13, 2015","2,094.50","2,054.75","2,094.75","2,052.00",1.33M,1.23%
"Jul 14, 2015","2,102.00","2,094.00","2,105.50","2,090.50",955.52K,0.36%
"Jul 15, 2015","2,104.25","2,102.50","2,107.75","2,095.00",1.15M,0.11%
"Jul 16, 2015","2,117.00","2,104.00","2,118.50","2,102.75",1.11M,0.61%
"Jul 17, 2015","2,118.75","2,117.00","2,120.00","2,112.75",903.69K,0.08%
"Jul 20, 2015","2,122.00","2,118.00","2,126.25","2,116.50",937.63K,0.15%
"Jul 21, 2015","2,114.50","2,121.25","2,125.00","2,106.75",1.21M,-0.35%
"Jul 22, 2015","2,108.00","2,107.75","2,112.00","2,102.25",1.22M,-0.31%
"Jul 23, 2015","2,098.50","2,109.25","2,113.75","2,091.50",1.44M,-0.45%
"Jul 24, 2015","2,077.50","2,101.00","2,104.00","2,069.75",1.67M,-1.00%
"Jul 27, 2015","2,064.50","2,078.25","2,080.75","2,056.50",1.78M,-0.63%
"Jul 28, 2015","2,087.25","2,065.50","2,089.00","2,061.50",1.73M,1.10%
"Jul 29, 2015","2,101.50","2,088.00","2,104.25","2,084.50",1.40M,0.68%
"Jul 30, 2015","2,103.75","2,099.50","2,104.25","2,087.75",1.29M,0.11%
"Jul 31, 2015","2,098.50","2,101.75","2,109.25","2,095.25",1.60M,-0.25%
"Aug 03, 2015","2,091.00","2,098.75","2,102.50","2,080.00",1.51M,-0.36%
"Aug 04, 2015","2,083.00","2,090.50","2,096.25","2,081.50",1.33M,-0.38%
"Aug 05, 2015","2,093.75","2,082.50","2,107.00","2,082.25",1.38M,0.52%
"Aug 06, 2015","2,079.50","2,094.00","2,099.25","2,070.00",1.61M,-0.68%
"Aug 07, 2015","2,073.50","2,080.00","2,082.75","2,062.00",1.60M,-0.29%
"Aug 10, 2015","2,099.75","2,072.00","2,101.25","2,071.75",1.20M,1.27%
"Aug 11, 2015","2,079.75","2,100.75","2,101.75","2,070.75",1.78M,-0.95%
"Aug 12, 2015","2,084.25","2,080.75","2,085.25","2,046.50",2.36M,0.22%
"Aug 13, 2015","2,080.50","2,082.75","2,093.00","2,073.25",1.50M,-0.18%
"Aug 14, 2015","2,089.50","2,079.25","2,090.50","2,073.75",1.07M,0.43%
"Aug 17, 2015","2,099.25","2,089.50","2,100.50","2,074.75",1.29M,0.47%
"Aug 18, 2015","2,094.00","2,098.25","2,103.75","2,090.25",1.14M,-0.25%
"Aug 19, 2015","2,072.75","2,093.25","2,098.00","2,066.50",2.29M,-1.01%
"Aug 20, 2015","2,025.50","2,073.50","2,077.75","2,024.50",2.58M,-2.28%
"Aug 21, 2015","1,971.50","2,026.25","2,029.00","1,967.25",4.17M,-2.67%
"Aug 24, 2015","1,871.25","1,964.50","1,964.75","1,831.00",5.26M,-5.08%
"Aug 25, 2015","1,872.75","1,872.75","1,948.50","1,860.00",3.66M,0.08%
"Aug 26, 2015","1,938.00","1,876.00","1,943.00","1,850.50",3.53M,3.48%
"Aug 27, 2015","1,989.25","1,941.25","1,990.25","1,934.50",2.94M,2.64%
"Aug 28, 2015","1,989.75","1,988.25","1,992.75","1,967.25",1.97M,0.03%
"Aug 31, 2015","1,969.25","1,986.25","1,987.75","1,959.25",1.88M,-1.03%
"Sep 01, 2015","1,916.00","1,965.50","1,966.25","1,898.75",2.82M,-2.70%
"Sep 02, 2015","1,947.00","1,913.50","1,949.00","1,907.25",2.18M,1.62%
"Sep 03, 2015","1,946.00","1,947.50","1,973.50","1,942.00",2.05M,-0.05%
"Sep 04, 2015","1,921.75","1,947.25","1,949.25","1,907.75",2.14M,-1.25%
"Sep 06, 2015","1,925.75","1,917.38","1,928.88","1,916.95",-,0.21%
"Sep 07, 2015","1,938.95","1,925.50","1,944.15","1,919.65",-,0.69%
"Sep 08, 2015","1,965.75","1,916.75","1,968.75","1,915.75",1.88M,1.38%
"Sep 09, 2015","1,942.75","1,966.50","1,992.00","1,935.50",2.14M,-1.17%
"Sep 10, 2015","1,949.50","1,943.75","1,967.25","1,928.50",2.27M,0.35%
"Sep 11, 2015","1,960.25","1,949.50","1,962.50","1,937.25",1.05M,0.55%
"Sep 14, 2015","1,954.00","1,963.75","1,974.25","1,946.50",893.37K,-0.32%
"Sep 15, 2015","1,979.75","1,953.25","1,983.00","1,945.00",1.03M,1.32%
"Sep 16, 2015","1,998.25","1,979.75","1,999.00","1,972.75",595.80K,0.93%
"Sep 17, 2015","1,987.75","1,997.00","2,021.50","1,982.50",522.53K,-0.53%
"Sep 18, 2015","1,970.10","1,988.00","1,993.75","1,954.75",85.62K,-0.89%
"Sep 21, 2015","1,963.00","1,949.25","1,969.00","1,938.50",1.51M,-0.36%
"Sep 22, 2015","1,932.00","1,964.25","1,965.00","1,917.75",1.99M,-1.58%
"Sep 23, 2015","1,928.50","1,930.50","1,941.75","1,910.50",1.42M,-0.18%
"Sep 24, 2015","1,918.75","1,931.75","1,936.25","1,897.25",2.22M,-0.51%
"Sep 25, 2015","1,919.25","1,913.25","1,951.00","1,910.25",2.08M,0.03%
"Sep 28, 2015","1,872.00","1,915.50","1,929.75","1,868.75",2.35M,-2.46%
"Sep 29, 2015","1,874.50","1,876.25","1,889.75","1,861.00",2.37M,0.13%
"Sep 30, 2015","1,908.75","1,875.00","1,910.50","1,871.25",2.22M,1.83%
"Oct 01, 2015","1,916.75","1,902.50","1,929.50","1,890.25",2.05M,0.42%
"Oct 02, 2015","1,943.00","1,917.00","1,943.75","1,883.00",2.47M,1.37%
"Oct 05, 2015","1,974.75","1,941.00","1,980.00","1,937.25",1.68M,1.63%
"Oct 06, 2015","1,968.50","1,973.00","1,982.25","1,962.50",1.61M,-0.32%
"Oct 07, 2015","1,987.25","1,961.00","1,991.25","1,960.50",1.94M,0.95%
